 ,Major,Minor,Angle
1,57.7,18.7,165.2
2,49.7,18.1,176.1
3,53.9,18.4,53.9
4,53.0,17.5,23.6
5,49.9,17.1,128.8
6,46.1,16.1,175.8
7,66.1,19.7,14.4
8,51.8,18.8,178.3
9,55.0,20.2,119.9
10,60.7,18.8,105.7
11,50.8,18.2,135.4
12,48.4,16.2,110.2
13,45.5,15.0,14.0
14,48.4,16.2,12.0
15,56.8,20.1,33.3
16,59.0,18.8,134.9
17,54.9,18.0,143.3
18,59.3,18.9,29.8
19,56.4,20.1,32.0
20,49.5,18.5,115.4
21,67.3,20.6,127.7
22,56.9,18.8,41.2
23,56.8,19.7,94.6
24,48.1,18.3,135.8
25,49.5,18.4,175.6
26,57.4,20.6,101.4
27,57.5,19.6,27.8
28,54.2,18.5,14.4
29,58.0,20.1,87.2
30,58.8,21.6,138.7
31,55.5,19.4,138.6
32,66.9,21.4,56.7
33,50.1,19.3,75.7
34,54.6,16.4,43.4
35,53.8,20.7,99.9
36,57.3,19.7,13.9
37,60.4,20.3,135.7
38,61.8,21.5,30.3
39,51.4,20.2,152.9
40,50.3,17.6,119.4
41,58.0,20.6,141.9
42,51.2,17.5,28.6
43,54.3,20.6,141.9
44,53.4,20.9,107.1
45,47.1,17.8,89.0
46,49.5,17.1,112.3
47,62.7,16.4,132.4
48,53.6,19.6,72.8
49,53.3,17.9,10.3
50,54.3,17.9,84.5
51,58.3,19.4,136.4
52,50.2,18.3,59.9
53,62.0,16.3,11.6
54,55.4,19.2,78.1
55,53.8,19.0,124.5
56,57.9,20.6,32.0
57,48.3,18.4,11.3
58,50.9,16.9,26.7
59,52.3,17.4,76.8
60,49.3,17.7,129.7
61,56.3,19.6,121.9
62,47.9,16.5,118.4
63,54.7,19.0,114.4
64,63.0,20.5,163.6
65,64.9,17.2,52.6
66,51.2,17.1,53.6
67,57.8,19.7,121.2
68,57.5,17.6,139.3
69,57.3,20.0,54.8
70,51.7,18.3,33.7
71,61.0,21.0,98.0
72,56.1,21.7,88.6
73,63.8,22.2,160.1
74,58.6,21.2,144.6
75,47.4,16.1,26.1
76,58.9,20.0,75.5
77,49.1,18.5,7.0
78,59.6,18.4,44.9
79,59.8,19.3,158.1
80,58.2,19.5,69.7
81,57.3,17.9,154.2
82,58.6,18.1,128.9
83,53.5,21.3,84.6
84,64.1,20.4,171.8
85,51.5,17.4,76.1
86,53.6,17.3,71.3
87,62.4,19.8,117.1
88,65.6,19.3,137.9
89,65.0,21.4,128.8
90,52.0,17.8,150.7
91,53.4,20.1,75.1
92,64.7,19.9,144.7
93,48.0,16.9,42.8
94,57.5,19.4,163.4
95,49.7,19.2,145.3
96,50.4,18.2,32.2
97,50.9,20.4,86.2
98,57.7,19.1,129.6
99,50.1,18.0,33.9
100,55.2,16.6,61.7
101,55.9,18.7,158.3
102,53.1,20.8,18.9
103,49.0,19.2,95.6
104,51.0,17.0,18.7
105,49.5,18.1,177.6
106,42.8,17.1,158.1
107,57.1,14.8,134.2
108,61.4,19.6,53.4
109,52.3,18.0,158.2
110,58.0,17.8,119.7
111,52.5,19.1,45.1
