10ul nr-200ulh2o,,20uL-2M NaCl,
Wavelength (nm),Abs,Wavelength (nm),Abs
1100,0.0024945591772074,1100,0.0177396165524262
1099,0.00221201424046482,1099,0.0163511877749188
1098,0.0010663344230795,1098,0.0119425046381927
1097,0.00348977015591903,1097,0.0166850476498077
1096,-0.000753507748986019,1096,0.0130404201349623
1095,0.00125920875941056,1095,0.0181795072336351
1094,-0.000386150468595762,1094,0.0149540013611793
1093,0.00111109979857009,1093,0.0157852934735917
1092,7.30563469723831E-05,1092,0.016935853329837
1091,0.000816018836839657,1091,0.0147956846582189
1090,-0.00018608024204881,1090,0.0143451863733928
1089,-0.00106343858702763,1089,0.0155174982498001
1088,-0.000137277477462535,1088,0.0157094116820489
1087,0.000755050748354528,1087,0.0176515031396855
1086,-0.000101150583905534,1086,0.0155151910818438
1085,0.00222307209540804,1085,0.0170088539338764
1084,0.00103882871293203,1084,0.0168171458810516
1083,0.00184510519960568,1083,0.0181775637743474
1082,0.000280953613897678,1082,0.0166748527355985
1081,0.0026250926655878,1081,0.0189950696570782
1080,0.00114416426168959,1080,0.0177480837152932
1079,-0.000382012374930956,1079,0.0160198136170736
1078,0.00287929376009606,1078,0.0199964733715287
1077,0.00150684470139616,1077,0.0175104456591291
1076,0.001661143211411,1076,0.017801263429526
1075,0.00292427246948032,1075,0.0182596285137014
1074,0.00115825765122755,1074,0.0170425858650985
1073,0.00277067088552426,1073,0.0180311815079938
1072,0.00307678131662417,1072,0.0178570390102427
1071,0.00264108330663444,1071,0.0178925632662646
1070,0.00188313927504708,1070,0.0198164203213627
1069,0.00395259943416891,1069,0.0204327963484033
1068,0.00313585997729853,1068,0.0200147430085973
1067,0.00491191486449724,1067,0.0210111676635994
1066,0.00507101613350104,1066,0.0207555271537656
1065,0.00202758471587431,1065,0.0186759139048365
1064,0.0064511147149967,1064,0.0209520516805782
1063,0.00438540589232367,1063,0.0224869722476537
1062,0.00227201624137586,1062,0.0193918947937185
1061,0.00443114234722289,1061,0.021543084287402
1060,0.00380325587684229,1060,0.0206825728140319
1059,0.00485044762790222,1059,0.0210485811542895
1058,0.00421236223811257,1058,0.0219344040925246
1057,0.00354788719242886,1057,0.0215854949267903
1056,0.00472688501580525,1056,0.0216537306124457
1055,0.00367025328357237,1055,0.0218104847468142
1054,0.00618909078751644,1054,0.0230361499164794
1053,0.00453474054447935,1053,0.0227377423338445
1052,0.00493458768546008,1052,0.0232053913984621
1051,0.00450738047724153,1051,0.0224317164938289
1050,0.00608512350145428,1050,0.0244706060543605
1049,0.0047732070611705,1049,0.0224569037405691
1048,0.00549683844741036,1048,0.0245587170557521
1047,0.00535878236596622,1047,0.0236652344495053
1046,0.00622624675069838,1046,0.0241151938307766
1045,0.00522142513285809,1045,0.0235679303820411
1044,0.00669857511137593,1044,0.0251496622212048
1043,0.00591150637019579,1043,0.0243459610288544
1042,0.00545990211426782,1042,0.02484165859786
1041,0.0056255241058757,1041,0.0257631667207714
1040,0.00524112727881729,1040,0.0245806585711628
1039,0.00647523432442985,1039,0.0257927233314881
1038,0.00635286348278965,1038,0.026027489631957
1037,0.00725745641112441,1037,0.0268449405489865
1036,0.00667609917121447,1036,0.0262985189213419
1035,0.00779457665792436,1035,0.0280220416203582
1034,0.00648558672451612,1034,0.0273625503046182
1033,0.00650729078052048,1033,0.0276513528339571
1032,0.00722910834736007,1032,0.0276522908173608
1031,0.00783803782436849,1031,0.0283437216297943
1030,0.00713462816315381,1030,0.0281557007554519
1029,0.00804849988063062,1029,0.0291505158697245
1028,0.00800775988023823,1028,0.0290272327826164
1027,0.00830864038456016,1027,0.0293095290969081
1026,0.00804124814466376,1026,0.029741731110228
1025,0.00783932933854898,1025,0.029531214756041
1024,0.00897714182994582,1024,0.0306723731036643
1023,0.00837983556551433,1023,0.0301213118695953
1022,0.00950152450738662,1022,0.0317853708439613
1021,0.00858715442125772,1021,0.0316152867230206
1020,0.00951753222145786,1020,0.0320091323425498
1019,0.00879000243287078,1019,0.0321508537196587
1018,0.00893311731883819,1018,0.0329810401967457
1017,0.00948115190642659,1017,0.0332412149428348
1016,0.0101418167843498,1016,0.0338651459868086
1015,0.0104081196126995,1015,0.0338492506421423
1014,0.0101303964769975,1014,0.0345739754378077
1013,0.0101613459407972,1013,0.0346968526355627
1012,0.0109770813163189,1012,0.035234831981428
1011,0.010231122814669,1011,0.0355057150992478
1010,0.0109729397556823,1010,0.0355354085016874
1009,0.0114109692387306,1009,0.0366494356389434
1008,0.0111718854722262,1008,0.0366666167908069
1007,0.0117450141723466,1007,0.0377153333056466
1006,0.0113437393657996,1006,0.0373297086661021
1005,0.0113354492880492,1005,0.0376011398602128
1004,0.0116593050831927,1004,0.038396289545736
1003,0.0112918758402049,1003,0.0389505112589057
1002,0.0125930970155405,1002,0.0396044828135547
1001,0.0125545130570119,1001,0.0403909826099138
1000,0.0132377534450783,1000,0.0411849145463927
