10ul aunr-dna2-200ul h2o,,20uL-2M NaCl,,10uL BP 2,,20uL BP2,,10uL 2M NaCl,,20uL 2M NaCl,,20uL 2M NaCl,,30uL 2M NaCl,,10uL BP2,,30mins - rt,,50 p1,,50 p2,,50 p3,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1100,0.0213359328861269,1100,0.0138391375249548,1100,0.00927861557360322,1100,0.0125546995734279,1100,0.00857271227712218,1100,0.00741913101440857,1100,0.00417618838417427,1100,0.00961171186113956,1100,0.0104462746960236,1100,0.0643436059137021,1100,0.0168619769375487,1100,0.0363020715460669,1100,0.018960158176177
1099,0.0223742601469274,1099,0.0147184759764578,1099,0.0132737825897181,1099,0.011716690805621,1099,0.0113701783311022,1099,0.0105216136511543,1099,0.0104700338285081,1099,0.0116670695288393,1099,0.00972060358152682,1099,0.0671295053396067,1099,0.0186367317117677,1099,0.0333809070042626,1099,0.0236823469131792
1098,0.0249610173244215,1098,0.0167076440910814,1098,0.0145489756839673,1098,0.0118880687477748,1098,0.00967338028973679,1098,0.00840530294723979,1098,0.0125349292790925,1098,0.0118130775890985,1098,0.0155209321968975,1098,0.0683127160797061,1098,0.020689441457021,1098,0.0362047648287757,1098,0.0205362395191833
1097,0.0231674366926518,1097,0.0178938580548539,1097,0.00932576950972921,1097,0.0141914509568514,1097,0.0124893171548395,1097,0.00893768868407647,1097,0.0113548196206593,1097,0.0122589585469982,1097,0.0142131156088585,1097,0.0692196776013514,1097,0.0174698324033254,1097,0.0350623254483305,1097,0.0212540731814973
1096,0.0252676240542987,1096,0.0163898148376293,1096,0.0145404635930241,1096,0.0112892721994253,1096,0.0121808417505912,1096,0.0101178901276108,1096,0.0121661731216883,1096,0.0120523017815585,1096,0.0150062237058433,1096,0.0712428459484688,1096,0.0175167522385849,1096,0.0377203873064503,1096,0.0224973590425692
1095,0.0221785349783985,1095,0.0183240493996642,1095,0.0136792497748028,1095,0.0128333379444212,1095,0.00959088420275719,1095,0.00834172965080461,1095,0.00920240786509581,1095,0.0122324920462581,1095,0.013013239135064,1095,0.071423416067037,1095,0.022321662091884,1095,0.0394268306669079,1095,0.0224718695822435
1094,0.0241111166136578,1094,0.0197320833915038,1094,0.0109820459314379,1094,0.0121178047651249,1094,0.0100580924984685,1094,0.0107317354446001,1094,0.0096538465952652,1094,0.0110112241479616,1094,0.0144892607297718,1094,0.0664927197135687,1094,0.0199875556824186,1094,0.0365059010019461,1094,0.021467168975982
1093,0.0236928170117722,1093,0.0173989097996335,1093,0.0108055051129597,1093,0.0133925931916567,1093,0.00980193285530145,1093,0.010325112731121,1093,0.00975327112760208,1093,0.0127257155400255,1093,0.0148772467165722,1093,0.0687076450534523,1093,0.0187528293720021,1093,0.0367512931830308,1093,0.0206722021834148
1092,0.023757666169721,1092,0.0188069972778106,1092,0.0113469810418038,1092,0.0124148347555835,1092,0.00897629617905112,1092,0.00783777425051784,1092,0.00875265290190242,1092,0.0104822321023862,1092,0.0127013795655954,1092,0.069599996527386,1092,0.0171997040373445,1092,0.0347366977674192,1092,0.019228705363891
1091,0.0239597120442922,1091,0.0162257608747721,1091,0.00890740758870458,1091,0.0117283922543314,1091,0.00820667058441631,1091,0.00966496322423072,1091,0.00854879270726725,1091,0.0116910550972676,1091,0.0120962976169465,1091,0.0696726843953586,1091,0.0172408037894796,1091,0.0340550955888447,1091,0.0200853892225709
1090,0.0216551727103198,1090,0.0161922535406771,1090,0.0124722404833554,1090,0.011557210218856,1090,0.00832328484452472,1090,0.00779557813978926,1090,0.00889057686308997,1090,0.0115522921920113,1090,0.0131012701297575,1090,0.0693514849975595,1090,0.0179814270916344,1090,0.0332634318636625,1090,0.0192758697395497
1089,0.022500385163408,1089,0.0171908435912627,1089,0.00980987598354705,1089,0.0110500164231037,1089,0.0103813944902059,1089,0.00867083326059829,1089,0.00888407725980466,1089,0.0118257392528635,1089,0.0147206450236182,1089,0.0704399608237832,1089,0.0178136154309422,1089,0.0348192317195112,1089,0.0211201023294241
1088,0.0239093285178602,1088,0.0189995047788724,1088,0.012107051057901,1088,0.00971274150010428,1088,0.00763523868449519,1088,0.00884074905690706,1088,0.0094437164364935,1088,0.0108442524758173,1088,0.0133468375186012,1088,0.0714242399243622,1088,0.0183072547692115,1088,0.0335394915397379,1088,0.0208643705478328
1087,0.0270525606007182,1087,0.0209308360036651,1087,0.0149206991635199,1087,0.0149035534123922,1087,0.0142146669463925,1087,0.0114630596157632,1087,0.0110373773546806,1087,0.0140002871907208,1087,0.0182137081417556,1087,0.0750584286806397,1087,0.0196197860056298,1087,0.0371311033640936,1087,0.0242585227564416
1086,0.0234306211445523,1086,0.0192795770820163,1086,0.0101703821163224,1086,0.013772813302463,1086,0.00930659525007185,1086,0.0113001650862327,1086,0.0103669455801484,1086,0.0120557084384124,1086,0.0146190327817006,1086,0.071475474715318,1086,0.0166011820919025,1086,0.0335615559306003,1086,0.0224355053910669
1085,0.0261292776152951,1085,0.0176244363905434,1085,0.0114238317917374,1085,0.0121558707692613,1085,0.00936160780960676,1085,0.00907046423767736,1085,0.00973029240289068,1085,0.0103040122651774,1085,0.0125443347111977,1085,0.069822808761229,1085,0.0175368045356226,1085,0.0347492044528097,1085,0.0194374255712467
1084,0.024732142794207,1084,0.0169836576484274,1084,0.0114628735675849,1084,0.0132123213374211,1084,0.0105329646864351,1084,0.0105902017623343,1084,0.0101163798513152,1084,0.0108452344744495,1084,0.0131357938209723,1084,0.0729791688779185,1084,0.0183408716821891,1084,0.0342550718886713,1084,0.0213685070632317
1083,0.0248424260733045,1083,0.0178444969715507,1083,0.0119927694441206,1083,0.0136243553746395,1083,0.0102692888557264,1083,0.0104664274479395,1083,0.0110927689396658,1083,0.010720750673804,1083,0.0151165570220287,1083,0.0714909165225915,1083,0.0161562232777377,1083,0.034405373751185,1083,0.0205062786265868
1082,0.0252753064011613,1082,0.0177788796933061,1082,0.0125353289392025,1082,0.012591524812116,1082,0.00923469270443134,1082,0.0105007423115027,1082,0.00879570816031134,1082,0.012759489628189,1082,0.0152074818059341,1082,0.0703791071582575,1082,0.0175518713195866,1082,0.0349861423760653,1082,0.0210961338149254
1081,0.0255866380777208,1081,0.0170110613704072,1081,0.00997883425059904,1081,0.0121987322916662,1081,0.0119573519743883,1081,0.0103079618975227,1081,0.00888156727644121,1081,0.0102864646685229,1081,0.0142206851185829,1081,0.0727107825485155,1081,0.0187708035019451,1081,0.0342647075770796,1081,0.0194396995283302
1080,0.024665312258442,1080,0.0208551905855636,1080,0.012152223741831,1080,0.0152383662521437,1080,0.0102724164994466,1080,0.0118238240195226,1080,0.0111579414318319,1080,0.0122463108730923,1080,0.0143703103138756,1080,0.0745395928424221,1080,0.0194789813091491,1080,0.0350706039720232,1080,0.0199487428280751
1079,0.0262373589692057,1079,0.0187728307061383,1079,0.0136777003486434,1079,0.0154197494560888,1079,0.0117849891654477,1079,0.0117740575143858,1079,0.0101417107940379,1079,0.0116839550182545,1079,0.0150111006127489,1079,0.0741651198821412,1079,0.0195646771921901,1079,0.0354610243161664,1079,0.0220457220846893
1078,0.0255610215719778,1078,0.0160389911187541,1078,0.0131553780311425,1078,0.0142836803258474,1078,0.0110499633170047,1078,0.0102598265453547,1078,0.00972449496741283,1078,0.011475684499781,1078,0.0146814967280366,1078,0.074011000879239,1078,0.0181102768598562,1078,0.0348708689871794,1078,0.0198570910415759
1077,0.0251257994213465,1077,0.0188873966348898,1077,0.013866316814194,1077,0.0138233171289811,1077,0.0104900285699447,1077,0.0116948046240312,1077,0.0108453406365968,1077,0.0133590634750341,1077,0.0155011337186798,1077,0.0749247857971404,1077,0.0184477070345076,1077,0.0364426110191111,1077,0.0213895265896095
1076,0.0252369783300419,1076,0.0162081604691808,1076,0.0122696893886291,1076,0.0115361295555191,1076,0.0113749614314283,1076,0.0110154988283911,1076,0.0103027929228506,1076,0.0102750670626048,1076,0.0154116225969948,1076,0.0743989817065515,1076,0.0164718650640708,1076,0.0359215232396976,1076,0.0205812390183958
1075,0.0248094532616176,1075,0.0175834620519085,1075,0.0125396186475421,1075,0.0128361108333837,1075,0.0110842446548008,1075,0.0104923357147327,1075,0.0109214921220658,1075,0.0114932270531586,1075,0.0141741467580916,1075,0.074257310413389,1075,0.0167281702109338,1075,0.0344956358949994,1075,0.0194193155523421
1074,0.025434141932276,1074,0.0162041836824335,1074,0.0114901703451528,1074,0.0114350469732206,1074,0.00983579806936889,1074,0.0109328005220359,1074,0.00882894022928396,1074,0.0107917851290022,1074,0.0133680329545207,1074,0.0724041490468871,1074,0.0180047116647576,1074,0.034815529554882,1074,0.0199950096653143
1073,0.0272451757562583,1073,0.0214112541809846,1073,0.0146951794862794,1073,0.0142633764139816,1073,0.0113093312636408,1073,0.0124182176205505,1073,0.0118750594205236,1073,0.0120297599678404,1073,0.0151529568173932,1073,0.0755192642896357,1073,0.0186070907047588,1073,0.0353299279248026,1073,0.021915263976134
1072,0.0232975067905128,1072,0.0162388743124004,1072,0.0116800992187364,1072,0.0126327770508553,1072,0.010986028284051,1072,0.00840926174172649,1072,0.00870785883245717,1072,0.0115781855640318,1072,0.0144884310414923,1072,0.074281113612521,1072,0.017497401571713,1072,0.0339140949892047,1072,0.0194500136974371
