300mMNaCl-d2-10mins-50C,,400mMNaCl-d2-10mins-50C,,600mMNaCl-d2-10mins-50C,,1000mMNaCl-d2-10mins-50C-correct,,400mMNaCl-d2-10mins-50C-sds,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1100,0.00431674487845583,1100,0.00635711882431126,1100,0.00501232831807483,1100,0.00204222696244761,1100,0.00472384939324483
1099,0.0070147021489385,1099,-0.00135952354454799,1099,-0.000446924177308908,1099,0.00168510219880756,1099,0.00623703964391983
1098,0.00702254184636575,1098,0.00141931460733732,1098,0.00110894576468686,1098,-0.000456233441110528,1098,0.00407881623240589
1097,0.00551002513848899,1097,0.00439204770861008,1097,0.00241575812902022,1097,0.00147559677065604,1097,0.00591675454801579
1096,0.00556031126529065,1096,0.00307790232849819,1096,-0.000241500697571114,1096,0.000189293561582329,1096,0.00527435047476845
1095,0.009073239637565,1095,0.002611316184771,1095,0.00305808952174846,1095,0.00153747141366313,1095,0.00679069918827962
1094,0.00634545613589763,1094,0.00298004628396522,1094,0.00266590382283986,1094,-0.000401874864938905,1094,0.00139170862591211
1093,0.00249908930535961,1093,0.000927474339392962,1093,7.01515407274468E-06,1093,-0.00249866358522311,1093,0.00256774996387018
1092,0.00451572433036889,1092,-0.000944586444297983,1092,0.0023998278409069,1092,-0.000569169945712686,1092,0.00306465893119074
1091,0.00578189650344972,1091,0.00261089951163058,1091,0.0010143864210687,1091,-0.00051999653363021,1091,0.00519182119513485
1090,0.00365338935497741,1090,0.000959409265088389,1090,0.00354838306050731,1090,0.00124576110127426,1090,0.00426059001707266
1089,0.00430348979421981,1089,0.00188183935419898,1089,0.00222655863040653,1089,0.000474723276667241,1089,0.00189091288292354
1088,0.00459645088623928,1088,0.00673640566522762,1088,0.00200051216408119,1088,0.00393708286500933,1088,0.00460008733510208
1087,0.00332814287005223,1087,0.000879252122936631,1087,-0.000343215829157472,1087,0.000328280461724926,1087,0.00235248293371065
1086,0.00541657342947984,1086,0.00106150782338906,1086,0.0034231812988517,1086,0.000383385046943398,1086,0.00444942258639318
1085,0.00582499929781755,1085,0.0014932335225205,1085,0.00250520765689456,1085,0.00154960320224162,1085,0.00448692694488738
1084,0.0046612313266762,1084,0.00151952114475599,1084,0.00130056681177867,1084,3.26693207479563E-05,1084,0.00383182515567949
1083,0.00422145845002894,1083,0.00062904431160117,1083,-0.000175109154587787,1083,-0.000879387317602453,1083,0.00133200987484313
1082,0.00385117707855012,1082,0.00282212592473409,1082,0.00291804396939794,1082,-9.90801837721259E-05,1082,0.0040656990550649
1081,0.00704469370262146,1081,0.00354063192423669,1081,0.00350370500950605,1081,0.00175870249569849,1081,0.00460694173157301
1080,0.0032716722933025,1080,0.000473634878291885,1080,0.00210618529750983,1080,0.000204236533956378,1080,0.00443009629100333
1079,0.00576093692173207,1079,0.00112098772974393,1079,-0.000154045959866845,1079,0.00155955308051128,1079,0.00379565686955975
1078,0.00419113848451646,1078,0.0022476865904645,1078,5.12572419545744E-05,1078,-0.000481677744079473,1078,0.00227388981112156
1077,0.00378132096012557,1077,0.00203647923664011,1077,0.000883480107430684,1077,0.00106179326596442,1077,0.00565922255516267
1076,0.00588765420113963,1076,0.0036325844506204,1076,0.000819753442865369,1076,-0.00061311623330304,1076,0.00356550390561389
1075,0.00725103384644145,1075,0.00455362679719141,1075,0.00387523107539028,1075,0.00210951482216405,1075,0.00537421877260851
1074,0.00634059677482608,1074,0.00186442079021753,1074,4.97297922440277E-05,1074,-0.000910696519213052,1074,0.00274912671272943
1073,0.00631916370127514,1073,0.00158623442761082,1073,0.00290790655985594,1073,-0.000525064082626383,1073,0.00236323203918812
1072,0.0058278589771882,1072,0.00147845392779071,1072,0.000668553506611001,1072,-0.00105460714751929,1072,0.00485094498544948
1071,0.00340864895967006,1071,-0.000182561244186686,1071,-0.00154048253750637,1071,-0.00101499257489524,1071,0.00193009502467734
1070,0.00463459587248085,1070,0.00115073073803356,1070,0.00298489425291775,1070,0.000171580201387753,1070,0.00480032214399229
1069,0.00468621990292907,1069,0.00232715982164406,1069,0.00155869577132037,1069,0.00120510913018524,1069,0.00440263821633969
1068,0.00404179127485844,1068,0.000868824999686394,1068,-9.29206850141786E-05,1068,-0.00115737126506366,1068,0.00139082567898475
1067,0.0035045922625154,1067,0.00115049714626288,1067,-0.000492899656013206,1067,0.00101843409410732,1067,0.00384402120632339
1066,0.00551060190151234,1066,0.00318623701029132,1066,0.00237127452212312,1066,0.00135117282493419,1066,0.00659806017186395
1065,0.00465304166634932,1065,0.00187783562243392,1065,-0.000622938913041202,1065,0.000307219766129075,1065,0.00267119106255059
1064,0.00585120935737814,1064,0.00117930774584299,1064,0.000455236175686366,1064,-0.000708800354087501,1064,0.00433682435652866
1063,0.00387846971744427,1063,0.000306986627612925,1063,-0.000688279927841352,1063,-0.00029396508819382,1063,0.00335942003495335
1062,0.00192952299718082,1062,-0.00127714597724518,1062,-8.32930581878381E-05,1062,-0.00150003517431778,1062,0.00208092856282355
1061,0.00385467670862933,1061,4.87719027935309E-05,1061,0.000944595940942519,1061,0.000291547955548702,1061,0.00192177469895024
1060,0.00438726245278967,1060,0.00102253369884373,1060,0.000894945155959456,1060,0.00107435292501664,1060,0.00194205577218346
1059,0.00495613581671541,1059,0.00134257795548266,1059,0.00104762516094784,1059,-0.00145844888117054,1059,0.00503668240597723
1058,0.0045325433052547,1058,0.00109031251992823,1058,0.00056087088539004,1058,0.000509916294127542,1058,0.00189993460229566
1057,0.00291460399927555,1057,0.00114943300756409,1057,-0.00033245563989544,1057,-0.000201294404672224,1057,0.00274636538453876
1056,0.00346941667888732,1056,0.000730546633325109,1056,0.000646309698764098,1056,-0.000406271387069756,1056,0.00334661151576437
1055,0.00499232232568693,1055,-4.1208506449317E-05,1055,0.00159257376178277,1055,-0.000375649979005948,1055,0.00306851720210332
1054,0.00376056214861507,1054,0.000142577428833981,1054,-0.000363131822236096,1054,-0.000757745667839509,1054,0.00184726288783194
1053,0.00326901196687173,1053,0.000597392884388856,1053,-0.000101254103653113,1053,-0.00100006515583916,1053,0.00292354276610636
1052,0.00346693779492405,1052,0.00134372046609055,1052,0.000767108836327003,1052,-0.000458405573951868,1052,0.00287056436497648
1051,0.00342928659179049,1051,0.000687842765812633,1051,0.000583265842042278,1051,-0.00139606197399088,1051,0.00275222671529652
1050,0.00371056229237512,1050,9.03429691043565E-06,1050,-0.00035133752622719,1050,-0.000742292569077798,1050,0.00327099416933142
1049,0.00437301159341187,1049,0.000342943246448602,1049,-2.07082809374365E-05,1049,-0.000378494964314514,1049,0.00296610215882708
1048,0.00416957600394444,1048,0.00179849655157639,1048,-0.000126977996013837,1048,-0.000542644916636263,1048,0.00321948592405129
1047,0.00389325285805771,1047,0.000159435054667564,1047,0.000103633895072289,1047,-0.00055981139721642,1047,0.0024962254257465
1046,0.00419942398904108,1046,0.000354601290751594,1046,5.82991134832253E-05,1046,-0.00136086540565252,1046,0.00300386961958133
1045,0.00319012243827293,1045,-0.000168847230432051,1045,-0.000563068815430061,1045,-0.000796091785228519,1045,0.00068097216531097
1044,0.00327490643757776,1044,-3.17350376529828E-05,1044,-0.000792784436824849,1044,-0.00119748914732579,1044,0.00237020738798591
1043,0.00339534329458843,1043,5.38720412169945E-05,1043,-0.000753714477694413,1043,-0.000605774927588146,1043,0.00274219737523805
1042,0.00287059042261126,1042,-0.00137495469694018,1042,-0.00186995723571991,1042,-0.00258925001037454,1042,0.00259615995648552
1041,0.00155391565412905,1041,-0.000410771310689849,1041,-0.00216884146273754,1041,-0.0026470404531243,1041,0.00137036258839129
1040,0.00414302295336552,1040,7.90111621295242E-05,1040,-3.30292395663745E-05,1040,-0.000884037341749488,1040,0.00243187122073329
1039,0.00324843411002894,1039,0.000186781535252337,1039,-0.000303794988922097,1039,-0.000758417529225832,1039,0.00325803177237402
1038,0.00291648034323726,1038,-3.06479050652414E-05,1038,-0.00175792572440943,1038,-0.0012913928394443,1038,0.00167553923406157
1037,0.00266850836637719,1037,-0.000857996565231206,1037,-0.00109592227842509,1037,-0.00182670505185226,1037,0.0018569856159567
1036,0.00251819967642147,1036,-0.000271769388718821,1036,-0.00103343161950499,1036,-0.00146928440319209,1036,0.00292398580015147
1035,0.00315254737410206,1035,-0.000760381425780187,1035,-0.00180706229218548,1035,-0.0023026028107438,1035,0.00199840572505111
1034,0.0019976775756639,1034,-0.000255005451188777,1034,-0.00108791777878989,1034,-0.00138068317917867,1034,0.0021046245916151
1033,0.00357213319458772,1033,-0.000401771416823414,1033,-0.000496571278527531,1033,-0.00163513734331103,1033,0.00245696614375854
1032,0.00324843411002894,1032,0.000184632080959148,1032,-0.00130935560827008,1032,-0.00179587428654693,1032,0.00244301277106059
1031,0.00248700906862723,1031,-0.00103017772734281,1031,-0.00154801441102423,1031,-0.00236964825445275,1031,0.00197510555017288
1030,0.00227591952080052,1030,-0.000133913352091861,1030,-0.00132277558285595,1030,-0.00177726134364484,1030,0.00228906081940284
1029,0.00256334931548405,1029,-0.000921235742660629,1029,-0.0015315060244889,1029,-0.00229807094801719,1029,0.00229556655992537
1028,0.00278489531450045,1028,-0.000679854383892697,1028,-0.00226464699988065,1028,-0.00139575233919876,1028,0.00108003603060048
1027,0.00299013324794872,1027,-0.00171352788505064,1027,-0.00172487271241452,1027,-0.00215658094932232,1027,0.00169970691545562
1026,0.0031206072145497,1026,0.000345119390962675,1026,-0.000487573162538464,1026,-0.00110397827103413,1026,0.00356631298664198
1025,0.00252759895489266,1025,-0.00133268545175748,1025,-0.00229044907223772,1025,-0.00260438021934477,1025,0.000428209635888536
1024,0.00323226461511027,1024,-0.000990870850014575,1024,-0.00124374660952579,1024,-0.00167000225239569,1024,0.00293016226302736
1023,0.00387402964980206,1023,0.000425307557115313,1023,-2.58334280363711E-05,1023,-0.000364425036961909,1023,0.00318475064770556
1022,0.00274105117969303,1022,-0.000738674707325001,1022,-0.00206858357893704,1022,-0.00157153777765961,1022,0.00219216284496883
1021,0.00307039421115732,1021,-0.000686212324829012,1021,-0.00115215618450964,1021,-0.0019703640532398,1021,0.00199167038980144
1020,0.00240425286232471,1020,-0.000704923773538256,1020,-0.0023597105279425,1020,-0.00212273395387208,1020,0.00218074154894991
1019,0.00346411971244626,1019,-0.000922940593009285,1019,-0.00125515533772701,1019,-0.00177978780096764,1019,0.00255290771874462
1018,0.00398904204167123,1018,-0.000283824536400627,1018,-0.00145530136934181,1018,-0.000677890123157337,1018,0.0029434797455801
1017,0.00233460304977219,1017,-0.00077666075266212,1017,-0.00149554652297472,1017,-0.00203004047406139,1017,0.00195562901944848
1016,0.00372168447797021,1016,-4.8352297066916E-05,1016,-0.000639016609396038,1016,-0.00108988018589975,1016,0.00248008391202973
1015,0.00340170909133454,1015,-0.000145144253533842,1015,-0.0010008399479992,1015,-0.000887963990034055,1015,0.0032689337222234
1014,0.00359100373254382,1014,-4.46251166230108E-05,1014,-0.00100796797101719,1014,-0.000586697292342741,1014,0.00337280286281747
1013,0.00352027606345333,1013,-9.00220671351598E-05,1013,-0.000705699092416347,1013,-0.000516531950794333,1013,0.00317434625203995
1012,0.00363655218482698,1012,-3.83613107721694E-05,1012,-0.000812886525148277,1012,-0.0004655942218352,1012,0.00321137556212464
1011,0.00429245727126213,1011,0.000905787946386735,1011,-0.000565395527767114,1011,-0.00035899350923557,1011,0.0034169978204108
1010,0.00386888445172595,1010,0.000652376078826777,1010,-0.000172883853039458,1010,0.000206489678383957,1010,0.0036100578047306
1009,0.0040968725966545,1009,0.000932896106852641,1009,-0.000156737137490571,1009,-5.0215875293729E-05,1009,0.00386308638278132
1008,0.00429049654414305,1008,0.00103094060428704,1008,-0.000312279566438298,1008,0.00049548111062025,1008,0.00435052494990534
1007,0.00429703233563206,1007,0.000469929161419775,1007,-0.000316625261461503,1007,-5.78254033940811E-05,1007,0.00367059265727809
