time(s);time_scaled;abs_corr
500;0;-0,00114
502;2;-0,00205
504;4;-0,00197
506;6;-0,0019
508;8;-0,00183
510;10;-0,00176
512;12;-0,0017
514;14;-0,00164
516;16;-0,00159
518;18;-5.40E+01
520;20;5.06E+01
522;22;0,00155
524;24;0,00159
526;26;0,00363
528;28;0,00367
530;30;0,0037
532;32;0,00274
534;34;7.70E+01
536;36;8.01E+01
538;38;-1.70E+01
540;40;-1.45E+01
542;42;-1.22E+01
544;44;-0,0011
546;46;-0,00209
548;48;-0,00308
550;50;-0,00507
552;52;-0,00607
554;54;-0,00808
556;56;-0,00708
558;58;-0,0041
560;60;-0,00111
562;62;0,00188
564;64;0,00386
566;66;0,00585
568;68;0,00884
570;70;0,00984
572;72;0,00984
574;74;0,00584
576;76;0,00285
578;78;0,00287
580;80;0,00288
582;82;0,0029
584;84;0,00191
586;86;-0,00207
588;88;-0,00406
590;90;-0,00606
592;92;-0,00706
594;94;-0,00706
596;96;-0,00707
598;98;-0,00509
600;100;-0,00412
602;102;-0,00315
604;104;-0,00119
606;106;-0,00124
608;108;7.16E+01
610;110;0,00166
612;112;0,00261
614;114;0,00355
616;116;0,0035
618;118;0,00444
620;120;0,00438
622;122;0,00532
624;124;0,00326
626;126;0,0012
628;128;-8.58E+01
630;130;-9.20E+01
632;132;-0,00199
634;134;-0,00105
636;136;-0,00213
638;138;-0,0032
640;140;-0,00328
642;142;-0,00436
644;144;-0,00445
646;146;-0,00354
648;148;-0,00264
650;150;-0,00174
652;152;1.65E+01
654;154;0,00206
656;156;0,00296
658;158;0,00386
660;160;0,00476
662;162;0,00367
664;164;0,00157
666;166;0,00148
668;168;0,00139
670;170;2.96E+01
672;172;-7.93E+01
674;174;-8.80E+01
676;176;-9.66E+01
678;178;-0,00205
680;180;-0,00214
682;182;-0,00222
684;184;-0,0023
686;186;-3.83E+01
688;188;0,00154
690;190;0,00146
692;192;3.83E+00
694;194;3.10E+01
696;196;0,00124
698;198;0,00117
700;200;0,00111
702;202;0,00104
704;204;9.85E+00
706;206;9.29E+01
708;208;8.76E+01
710;210;-1.75E+01
712;212;-2.23E+01
714;214;7.31E+01
716;216;0,00169
718;218;6.45E+01
720;220;6.05E+01
722;222;5.67E+01
724;224;-4.71E+01
726;226;-0,00151
728;228;-0,00155
730;230;-0,00158
732;232;-0,00162
734;234;-0,00166
736;236;-0,0017
738;238;-0,00173
740;240;-7.73E+01
742;242;-8.12E+01
744;244;1.50E+00
746;246;-8.89E+01
748;248;-9.26E+01
750;250;-0,00196
752;252;-0,002
754;254;-2.97E+00
756;256;0,00194
758;258;0,00391
760;260;0,00489
762;262;0,00487
764;264;0,00285
766;266;0,00284
768;268;0,00183
770;270;8.26E+01
772;272;-1.78E+01
774;274;-0,00118
776;276;-0,00118
778;278;-0,00218
780;280;-0,00318
782;282;-0,00318
784;284;-0,00219
786;286;-0,00219
788;288;-0,00219
790;290;-0,0012
792;292;-0,0012
794;294;-2.05E+01
796;296;7.91E+01
798;298;0,00179
800;300;0,00279
802;302;0,00379
804;304;0,00279
806;306;0,00279
808;308;0,00179
810;310;-2.04E+01
812;312;-0,0012
814;314;-0,00119
816;316;-0,00219
818;318;-0,00219
820;320;-0,00218
822;322;-0,00118
824;324;-1.80E+01
826;326;0,00182
828;328;0,00182
830;330;8.18E-01
832;332;8.16E+01
834;334;8.12E+01
836;336;0,00181
838;338;0,0018
840;340;7.94E+01
842;342;7.85E+01
