1-cool,,2-cool,,3-cool,,4-cool,,5-cool,,6-cool,,7-cool,,8-cool,,9-cool,,10-cool,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1100,0.0325196853771193,1100,0.0218737194853105,1100,0.0217820960789268,1100,0.0256024809816265,1100,0.0249031157469998,1100,0.0272480422062117,1100,0.0239499467022209,1100,0.0293603768825837,1100,0.0295037298941022,1100,0.0310669768892232
1099,0.0342354930524475,1099,0.0237857194382512,1099,0.0240056148292257,1099,0.0285636430093267,1099,0.0245695644079677,1099,0.0278631401963775,1099,0.027663381245304,1099,0.0279200299420053,1099,0.0285605190530999,1099,0.0302301416443512
1098,0.0344054017712929,1098,0.0263057244828273,1098,0.0225813621735775,1098,0.0286176937743453,1098,0.0238198178096951,1098,0.0282698682851012,1098,0.0264487603652086,1098,0.0289891532997242,1098,0.0344535429863047,1098,0.0272763494154244
1097,0.0358390325751846,1097,0.0276234073753739,1097,0.0251137039511272,1097,0.0265367233166132,1097,0.0232740732724889,1097,0.030010318054183,1097,0.0273199025711525,1097,0.0289117592918263,1097,0.0292505464774091,1097,0.0315370058108956
1096,0.0308406987216335,1096,0.0253040615342433,1096,0.0269794222888998,1096,0.0301295522317092,1096,0.0266343370971513,1096,0.027623076344193,1096,0.0280120464539293,1096,0.0282787642816005,1096,0.0316948626513713,1096,0.0301894035937387
1095,0.0329039647591098,1095,0.0271955946784118,1095,0.0219550153744905,1095,0.0293512371358326,1095,0.0264071375652104,1095,0.0242953136725582,1095,0.0306206492823231,1095,0.0286084037523656,1095,0.0306174549410873,1095,0.0291901598974386
1094,0.0326146908707635,1094,0.0250046953549311,1094,0.0244166855709581,1094,0.0303412194211942,1094,0.0251968705418971,1094,0.0270939973359561,1094,0.0266608427369841,1094,0.028480105648802,1094,0.0304988087529199,1094,0.0298461957405827
1093,0.0334085544769455,1093,0.0230474779447972,1093,0.0262887008486927,1093,0.029218150982004,1093,0.0260622042677115,1093,0.0269328185356379,1093,0.0289299098125564,1093,0.0314623570041853,1093,0.03043505537055,1093,0.0287896226955483
1092,0.0311029309455144,1092,0.0240057516147385,1092,0.0249307770432485,1092,0.0287150574173108,1092,0.0251880374501564,1092,0.0264511263546924,1092,0.0253789764992312,1092,0.028810036342837,1092,0.0314565125609498,1092,0.030571764544553
1091,0.0331435019298016,1091,0.0235561515093877,1091,0.0271887601544009,1091,0.0291513463639196,1091,0.0250304984400852,1091,0.0272958926647014,1091,0.0269175880149834,1091,0.0291553881250074,1091,0.0304485216599171,1091,0.0296811653316422
1090,0.0317791599867647,1090,0.0240284038899735,1090,0.0245642776595327,1090,0.0281702289994257,1090,0.0258582165202317,1090,0.0275931190669795,1090,0.0256763489423856,1090,0.0282526569831185,1090,0.0310190149747296,1090,0.0300466008394636
1089,0.034865960237582,1089,0.024126303757582,1089,0.0262562780343259,1089,0.0307511095848872,1089,0.025470401239692,1089,0.0279362342559504,1089,0.0281089706125034,1089,0.0272770660775793,1089,0.0304611275957703,1089,0.0325896051689832
1088,0.0347127790336493,1088,0.0218774490708026,1088,0.0246821079774378,1088,0.030338776625839,1088,0.0274434188185209,1088,0.0288850052580109,1088,0.0275013291543895,1088,0.0319516487326391,1088,0.0310953950846878,1088,0.0309017599731339
1087,0.0333158347635151,1087,0.0232091597445104,1087,0.0241649991696783,1087,0.0299108610692798,1087,0.0256242007024976,1087,0.0256539675458231,1087,0.0273053751786857,1087,0.0304065415338969,1087,0.0310554099370628,1087,0.0304055698197727
1086,0.0337830729341292,1086,0.0259633449458915,1086,0.0269169545690933,1086,0.0293535359025164,1086,0.0251300781717442,1086,0.0296489317044595,1086,0.0284591823605198,1086,0.0288110598165378,1086,0.0284577174917004,1086,0.0293626756976459
1085,0.0340178324928978,1085,0.0216143876763613,1085,0.0271610924546293,1085,0.0277583787761197,1085,0.0272073624375023,1085,0.0264205070449338,1085,0.0267847498456937,1085,0.0272973536199336,1085,0.0301693412306951,1085,0.0305300502162102
1084,0.0333078132164484,1084,0.0252623013650962,1084,0.0252197221997574,1084,0.0286943716932181,1084,0.0260046229159606,1084,0.0267480227462317,1084,0.0287757375379757,1084,0.0291081074106873,1084,0.0309734769112112,1084,0.0302120754568842
1083,0.0350704636567476,1083,0.0256931563444808,1083,0.0255818606083325,1083,0.0306461215222273,1083,0.0269962251049924,1083,0.0284823998091039,1083,0.0294366874266891,1083,0.0304470500657058,1083,0.0316793528327769,1083,0.0304630435079207
1082,0.0358305988297944,1082,0.0263860663400962,1082,0.0260929907476521,1082,0.0297069151499829,1082,0.0274790465492734,1082,0.0283527296684479,1082,0.0302088286180695,1082,0.0297734726144348,1082,0.0325071869355126,1082,0.0296710764757214
1081,0.0323351746201339,1081,0.0242509131196351,1081,0.0257093601747435,1081,0.0301862679212577,1081,0.0275790238622933,1081,0.025482506648453,1081,0.028794767508083,1081,0.0307039326607455,1081,0.0300567261637953,1081,0.0320691039652663
1080,0.0318374007058134,1080,0.025073744667729,1080,0.0244966786942361,1080,0.0316801046424483,1080,0.0280233117408525,1080,0.0281490996797012,1080,0.0290711279569832,1080,0.0323851228555207,1080,0.0307252699987383,1080,0.0296763980408456
1079,0.0367706476904507,1079,0.0252110532420201,1079,0.028118995627328,1079,0.0310047247386285,1079,0.0267167768722688,1079,0.0284112588383963,1079,0.0304248379285597,1079,0.029796289120004,1079,0.0340521838568783,1079,0.032290334866854
1078,0.035854241843362,1078,0.0264596825405319,1078,0.0266969018120933,1078,0.0296336887758687,1078,0.0267084633707888,1078,0.0283260653107837,1078,0.029403807156207,1078,0.0302792099827397,1078,0.0313575029472788,1078,0.0325581594004305
1077,0.0344446316953702,1077,0.0257480870317078,1077,0.0266832210318911,1077,0.0297789617735865,1077,0.028004922967422,1077,0.0282241755723853,1077,0.0293756379187511,1077,0.0303698677739856,1077,0.0310891940869488,1077,0.0324529010039331
1076,0.0344548600794055,1076,0.0254506380321494,1076,0.027393952961286,1076,0.0304771770920377,1076,0.027133013195024,1076,0.0280985039706779,1076,0.0292190092930256,1076,0.0292686834722849,1076,0.0304243936974042,1076,0.0311838871295897
1075,0.0360355289709524,1075,0.0238119150618586,1075,0.0263263517510949,1075,0.0315718017716266,1075,0.0262863907462081,1075,0.0313446483798541,1075,0.028181277419032,1075,0.0319934719720321,1075,0.0324187874696233,1075,0.0322260949301114
1074,0.0346369936686061,1074,0.0263730555066625,1074,0.0258670357787638,1074,0.0315354191815464,1074,0.0282598950398488,1074,0.0293627864842213,1074,0.0295847487343863,1074,0.0315284603493556,1074,0.0322162813320389,1074,0.0303126562299382
1073,0.0337876616760273,1073,0.0249525454467508,1073,0.0288323320186678,1073,0.0309357545491949,1073,0.0255010908917653,1073,0.0286802130490046,1073,0.0278327247676685,1073,0.0308080176645757,1073,0.0314437107220204,1073,0.0331030204796307
1072,0.0354779899801441,1072,0.0265157008347741,1072,0.0263444770527987,1072,0.0311304893950401,1072,0.026758622077539,1072,0.0283206773751595,1072,0.0284731403206931,1072,0.0311747367391545,1072,0.0316288731831079,1072,0.0314439333594731
1071,0.0365045495180411,1071,0.0267713140847105,1071,0.0278699577398761,1071,0.0296753725258276,1071,0.0269668068313106,1071,0.0305682650527928,1071,0.0299466918033184,1071,0.0323932668310801,1071,0.0328921533192837,1071,0.0324773650982111
1070,0.03529134796366,1070,0.0269927818520138,1070,0.0278156135752908,1070,0.0308190778150384,1070,0.0271817603904909,1070,0.0303132668907599,1070,0.029011043059574,1070,0.0305148318715769,1070,0.0321741299894643,1070,0.0326974365215711
1069,0.036169595700114,1069,0.0261103091017325,1069,0.0283412347808685,1069,0.030602927929075,1069,0.0273540038815763,1069,0.0296011538416127,1069,0.031906374948867,1069,0.031387081026771,1069,0.034083681994098,1069,0.0332715084851171
1068,0.0342227770851226,1068,0.0252472116214655,1068,0.0279815101604741,1068,0.0318402697713935,1068,0.026413739725981,1068,0.0293341490950247,1068,0.0288855862484771,1068,0.0314149357919214,1068,0.034025447230794,1068,0.0333037046765476
1067,0.0367875237217987,1067,0.0271275022678903,1067,0.0262642803869294,1067,0.0325224194591683,1067,0.0295593386682933,1067,0.0272044135780009,1067,0.0284317928950047,1067,0.0322662158945867,1067,0.0336067788507647,1067,0.0345177489176582
1066,0.034810509245686,1066,0.0261969937191569,1066,0.0286315462297662,1066,0.0305709313296714,1066,0.028402857566174,1066,0.0296908386580913,1066,0.030257339472889,1066,0.0313276486596245,1066,0.033412132842698,1066,0.0320790535902134
1065,0.034833732168184,1065,0.0262593579601416,1065,0.028221578912037,1065,0.0301738087029742,1065,0.0281920498987736,1065,0.0290784073460407,1065,0.0294047489321889,1065,0.0312167077449906,1065,0.0332610843617242,1065,0.0314780538981582
1064,0.0364939067292557,1064,0.0253829009726473,1064,0.0284629412917951,1064,0.0299900975420269,1064,0.0284071963608116,1064,0.0289391237055797,1064,0.0291662401627745,1064,0.0311922033051477,1064,0.0338356225264059,1064,0.0325182904439295
1063,0.0347502981038583,1063,0.0262206954753102,1063,0.0270968076832349,1063,0.0327564704575854,1063,0.0280391057233669,1063,0.0296990985744205,1063,0.0300256019466759,1063,0.0312069169289393,1063,0.0325206897317903,1063,0.0322776478416288
1062,0.0358485629045788,1062,0.0264910474928483,1062,0.0275137670957609,1062,0.0315198315522922,1062,0.0285426051185441,1062,0.0299421434658403,1062,0.0291698667970727,1062,0.0312000746146595,1062,0.0339796768280193,1062,0.0328196442612429
1061,0.0365386757743077,1061,0.0269797803749222,1061,0.0277334892351653,1061,0.0321278853062449,1061,0.0276681264900406,1061,0.031297240017914,1061,0.0301072730942387,1061,0.0329247402695728,1061,0.0327211328679921,1061,0.0321606937150372
