1-heat,,2-heat,,3-heat,,4-heat,,4-heat-3,,5-heat,,6-heat,,7-heat,,8-heat,,9-heat,,10-heat,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1100,0.00324525232313027,1100,0.00387436918278355,1100,0.00133099722214091,1100,0.00521322490202202,1100,0.00519690349759778,1100,-0.000601070222763596,1100,-0.00254900314719247,1100,0.00188826100105435,1100,0.0062231481107179,1100,0.0061659847951645,1100,-0.00254637822220885
1099,0.00338579477441929,1099,0.00204100458905212,1099,-0.00149219290261195,1099,0.00405375806480812,1099,0.00370111126931844,1099,-0.000184579496447682,1099,-0.000666156064763802,1099,0.00172041942873624,1099,0.00296091557978706,1099,0.00199219048918791,1099,0.00381863709233119
1098,0.00332574304719394,1098,-0.000483280892108945,1098,-0.000214800408576947,1098,0.00517804164336089,1098,0.00542011190769775,1098,0.00177403746097611,1098,-0.00130501983554173,1098,-0.00065478354704805,1098,0.00249159118783248,1098,0.00258220211100864,1098,0.00290214736575109
1097,0.00591693823538821,1097,0.00285284553531972,1097,0.00136675308234653,1097,0.00600377858039919,1097,0.0038851560226016,1097,-8.64582735939668E-06,1097,0.000139729046695434,1097,0.0016180359542048,1097,0.00450664810907126,1097,0.00423625327059693,1097,0.00365576488424125
1096,0.00379701475801139,1096,0.000174221621546979,1096,-0.000218681366494123,1096,0.00975388002739584,1096,0.00449359646916106,1096,0.00025414512626713,1096,-0.000903256913377607,1096,0.00181003776979464,1096,0.00329006028921826,1096,0.00484047442046879,1096,0.00138817684897313
1095,0.00469857080872799,1095,-0.000266388442252157,1095,0.00240927661776045,1095,0.00590282077523789,1095,0.00247602259336559,1095,0.00287384763927087,1095,0.000692535578063655,1095,0.0022388658023539,1095,0.00237413757788498,1095,0.0041628591832295,1095,0.00608037205610938
1094,0.0021984589953475,1094,-0.00229652598400608,1094,-0.00134068544138212,1094,0.00875510931409873,1094,0.00261105576401139,1094,9.84296048845692E-05,1094,-0.000994383304429787,1094,0.001207055976912,1094,0.00274352592385956,1094,0.0027787990736054,1094,0.000795660611750698
1093,0.00348635174889667,1093,-0.000442372909046086,1093,-0.000969950496282633,1093,0.00712360242806559,1093,0.00662536828397107,1093,0.00084965738392099,1093,0.00291314462624324,1093,0.000706692103443555,1093,0.00255569385591196,1093,0.00380960154149965,1093,0.000258367029508777
1092,0.00295395679968598,1092,0.000696035774912925,1092,0.00012041232986121,1092,0.00366858252458005,1092,0.00536187484491007,1092,0.00244106037593222,1092,-0.000801672878546968,1092,0.000961951707774915,1092,0.00414095836489701,1092,0.00445007640032952,1092,0.00346550265804389
1091,0.00363120097287437,1091,0.00118314930353087,1091,-0.00132731763417203,1091,0.00608890369399723,1091,0.0054711740475361,1091,0.0022791722804528,1091,-0.00114260364682814,1091,0.0018125332086551,1091,0.00246175621088532,1091,0.00256131826203767,1091,0.00266361183744774
1090,0.00177403746097611,1090,0.000447617786186475,1090,0.000827767393358285,1090,0.00611279317176708,1090,0.00522776535357065,1090,0.0024618082771226,1090,-0.000335197444201026,1090,0.000321441452285085,1090,0.00395521170572099,1090,0.00221006288352481,1090,0.00325349372080891
1089,0.00365934125500214,1089,0.00160886419655071,1089,0.000106093655919514,1089,0.00674413517616751,1089,0.00628712112783624,1089,0.000598481592962433,1089,0.00041504679123453,1089,0.000664975754337262,1089,0.00480649917567644,1089,0.00660862576326573,1089,0.00419576475619659
1088,0.00401388746477831,1088,2.95627819820365E-05,1088,0.00167943715622551,1088,0.00666737198516259,1088,0.00284231880825808,1088,0.0027024209489439,1088,-0.002192382738731,1088,0.00218898878723603,1088,0.00457264467102514,1088,0.00488568289276222,1088,0.00354386807205319
1087,0.00383780561737487,1087,0.00202836492970538,1087,-0.000889307308928471,1087,0.0041409060969619,1087,0.00461960433629361,1087,0.000560689449484944,1087,-0.000977285648612889,1087,0.00117671211799307,1087,0.0033741855176604,1087,0.0054817909033926,1087,0.0033538635433732
1086,0.00374413858446579,1086,-0.000814178401318108,1086,-0.000506086324812914,1086,0.00574574907093448,1086,0.00407089884490036,1086,0.00260483175432219,1086,0.00114995209928654,1086,-0.000113521019034301,1086,0.00263524951920791,1086,0.00452090335431987,1086,0.00230186420958068
1085,0.00317369435584767,1085,-0.000296758872084805,1085,-0.000681508491305462,1085,0.00593790534745378,1085,0.00394139296750046,1085,0.000530675810298271,1085,-0.000783844134608321,1085,0.000363746597872551,1085,0.00131557403437079,1085,0.00451781685786287,1085,0.00191727658923653
1084,0.00326387393156243,1084,8.47848217425397E-05,1084,-0.000428356771942472,1084,0.00473641072780405,1084,0.00419626136456013,1084,0.000785780084702767,1084,-0.00149884852387616,1084,0.00120934028819895,1084,0.0020459201114789,1084,0.00258537904386786,1084,0.000923012457135858
