time_sec	temp
0	40.02
30	40
60	40
90	40
120	40
150	39.99
180	40
210	40
240	40
270	40
300	39.88
330	39.32
360	38.9
390	38.29
420	37.92
450	37.36
480	36.94
510	36.3
540	35.96
570	35.34
600	34.96
630	34.25
660	33.95
690	33.31
720	32.92
750	32.32
780	31.91
810	31.26
840	30.88
870	30.27
900	29.9
930	29.25
960	28.9
990	28.33
1020	27.92
1050	27.24
1080	26.89
1110	26.32
1140	25.93
1170	25.27
1200	24.78
1230.06	24.33
1260	23.82
1290.06	23.32
1320	22.85
1350.06	22.36
1380	21.83
1410	21.38
1440.06	20.84
1470	20.41
1500.06	19.83
1530	19.4
1560.06	18.76
1590.06	18.46
1620.06	17.85
1650.06	17.4
1680	16.84
1710.06	16.49
1740.06	15.86
1770.06	15.39
1800.06	14.75
1830.06	14.49
1860.06	13.84
1890.06	13.37
1920.06	12.84
1950.06	12.48
1980.06	11.86
2010.06	11.41
2040.06	10.79
2070.06	10.48
2100.06	9.69
2130.06	9.36
2160.06	8.82
2190.06	8.44
2220.06	7.75
2250.06	7.41
2280.06	6.83
2310.06	6.43
2340.06	5.81
2370.06	5.3
2400.06	4.89
2430.06	4.96
2460.06	5.28
2490.06	5.81
2520.06	6.36
2550.06	6.78
2580.06	7.43
2610.06	7.8
2640.06	8.4
2670.06	8.79
2700.06	9.48
2730.06	9.97
2760.06	10.38
2790.06	10.85
2820.06	11.37
2850.06	11.96
2880.06	12.38
2910.06	12.89
2940.06	13.42
2970.06	13.93
3000.06	14.36
3030.06	15.02
3060.06	15.34
3090.06	15.9
3120.06	16.38
3150.06	16.95
3180.06	17.38
3210.06	17.88
3240.06	18.39
3270.06	18.98
3300.06	19.37
3330.06	19.87
3360.06	20.37
3390.06	20.91
3420.06	21.37
3450.06	21.86
3480.06	22.34
3510.06	22.93
3540.06	23.31
3570.06	23.88
3600.06	24.3
3630.06	24.98
3660.06	25.27
3690.06	25.89
3720.06	26.29
3750.06	26.91
3780.06	27.44
3810.06	27.91
3840.06	28.44
3870.06	28.9
3900.06	29.51
3930.06	29.88
3960.06	30.53
3990.06	31.02
4020.06	31.45
4050.06	31.84
4080.06	32.48
4110.12	32.86
4140.06	33.37
4170.06	33.9
4200.06	34.43
4230.06	34.94
4260.12	35.36
4290.06	35.93
4320.12	36.41
4350.06	36.92
4380.12	37.39
4410.12	37.89
4440.06	38.39
4470.12	38.87
4500.06	39.37
4530.12	39.87
4560.12	40.03
4590.12	39.94
