0,1,2
0,527,0.286
1,525,0.287
2,524,0.289
3,524,0.29
4,524,0.291
5,526,0.293
6,524,0.294
7,524,0.294
8,526,0.295
9,524,0.295
10,523,0.294
11,524,0.294
12,524,0.294
13,524,0.295
14,524,0.295
15,524,0.295
16,524,0.296
17,524,0.297
18,527,0.297
19,524,0.296
20,524,0.297
21,524,0.297
22,524,0.298
23,524,0.298
24,524,0.298
25,526,0.299
26,526,0.299
27,526,0.299
28,524,0.299
29,524,0.299
30,524,0.299
31,527,0.3
32,527,0.3
33,524,0.3
34,524,0.3
35,527,0.298
36,534,0.288
37,544,0.279
38,555,0.277
39,563,0.275
40,562,0.272
41,563,0.269
42,563,0.267
43,562,0.264
44,563,0.263
45,563,0.261
46,564,0.26
47,563,0.258
