0,1,2
0,580,0.209
1,579,0.207
2,583,0.207
3,579,0.206
4,583,0.206
5,583,0.185
6,579,0.184
7,579,0.184
8,579,0.184
9,579,0.184
10,579,0.183
11,579,0.182
12,580,0.181
13,579,0.179
14,579,0.177
15,541,0.173
16,523,0.212
17,523,0.237
18,523,0.24
19,523,0.24
20,523,0.242
21,524,0.243
22,523,0.244
23,523,0.245
24,524,0.245
25,523,0.245
26,524,0.245
27,523,0.244
28,523,0.244
29,524,0.392
30,526,0.362
31,524,0.36
32,524,0.358
33,526,0.358
34,524,0.356
35,524,0.356
36,524,0.355
37,523,0.354
38,524,0.354
39,523,0.353
40,524,0.352
41,524,0.351
42,523,0.35
43,523,0.35
44,523,0.349
45,526,0.35
46,523,0.351
