,1,lspr_max
0,39.55,0.4
1,39.05,0.4
2,38.54,0.4
3,38.05,0.4
4,37.49,0.4
5,37.03,0.39
6,36.48,0.39
7,36.04,0.39
8,35.5,0.39
9,35.03,0.39
10,34.52,0.39
11,34.06,0.39
12,33.55,0.39
13,33.05,0.39
14,32.54,0.39
15,32.09,0.4
16,31.55,0.4
17,31.09,0.4
18,30.56,0.4
19,30.14,0.4
20,29.57,0.4
21,29.14,0.4
22,28.57,0.4
23,28.19,0.4
24,27.57,0.4
25,27.15,0.4
26,26.46,0.4
27,26.19,0.4
28,25.58,0.4
29,25.15,0.4
30,24.53,0.4
31,24.17,0.4
32,23.53,0.4
33,23.1,0.4
34,22.49,0.4
35,22.16,0.4
36,21.45,0.4
37,21.07,0.4
38,20.57,0.4
39,20.14,0.4
40,19.45,0.4
41,19.12,0.4
42,18.53,0.4
43,18.13,0.4
44,17.47,0.4
45,17.01,0.4
46,16.56,0.4
47,16.06,0.4
48,15.52,0.4
49,15.08,0.39
50,14.58,0.39
51,14.06,0.38
52,13.59,0.37
53,13.06,0.36
54,12.61,0.36
55,12.06,0.36
56,11.6,0.36
57,10.98,0.36
58,10.65,0.35
59,10.08,0.35
60,9.93,0.34
61,10.2,0.33
62,10.82,0.33
63,11.36,0.32
64,11.95,0.31
65,12.38,0.31
66,12.9,0.31
67,13.41,0.3
68,13.92,0.3
69,14.36,0.3
70,15.02,0.3
71,15.32,0.3
72,15.9,0.3
73,16.37,0.3
74,16.95,0.3
75,17.38,0.3
76,17.87,0.3
77,18.4,0.31
78,18.98,0.31
79,19.37,0.32
80,19.87,0.32
81,20.37,0.33
82,20.92,0.33
83,21.37,0.34
84,21.85,0.34
85,22.34,0.35
86,22.92,0.35
87,23.3,0.35
88,23.86,0.36
89,24.3,0.37
90,24.87,0.38
91,25.55,0.39
92,25.93,0.4
93,26.46,0.4
94,26.91,0.4
95,27.53,0.4
96,27.92,0.4
97,28.45,0.4
98,28.89,0.4
99,29.49,0.4
100,29.87,0.41
101,30.49,0.41
102,30.86,0.41
103,31.37,0.41
104,31.87,0.41
105,32.42,0.41
106,32.88,0.41
107,33.4,0.41
108,33.89,0.41
109,34.42,0.41
110,34.94,0.41
111,35.39,0.41
112,35.92,0.41
113,36.39,0.41
114,36.91,0.41
115,37.38,0.4
116,37.88,0.4
117,38.39,0.4
118,38.87,0.39
119,39.36,0.38
120,39.86,0.37
121,40.01,0.36
122,39.97,0.36
123,39.99,0.35
124,40.0,0.35
125,40.0,0.36
