,1,tspr_max
0,39.55,0.38
1,39.05,0.38
2,38.54,0.38
3,38.05,0.38
4,37.49,0.38
5,37.03,0.38
6,36.48,0.38
7,36.04,0.38
8,35.5,0.38
9,35.03,0.38
10,34.52,0.38
11,34.06,0.38
12,33.55,0.38
13,33.05,0.38
14,32.54,0.37
15,32.09,0.38
16,31.55,0.38
17,31.09,0.38
18,30.56,0.38
19,30.14,0.38
20,29.57,0.38
21,29.14,0.38
22,28.57,0.38
23,28.19,0.38
24,27.57,0.38
25,27.15,0.38
26,26.46,0.38
27,26.19,0.38
28,25.58,0.38
29,25.15,0.38
30,24.53,0.38
31,24.17,0.38
32,23.53,0.38
33,23.1,0.38
34,22.49,0.38
35,22.16,0.38
36,21.45,0.38
37,21.07,0.38
38,20.57,0.38
39,20.14,0.38
40,19.45,0.38
41,19.12,0.38
42,18.53,0.38
43,18.13,0.38
44,17.47,0.38
45,17.01,0.38
46,16.56,0.38
47,16.06,0.38
48,15.52,0.38
49,15.08,0.38
50,14.58,0.38
51,14.06,0.39
52,13.59,0.39
53,13.06,0.38
54,12.61,0.36
55,12.06,0.34
56,11.6,0.32
57,10.98,0.31
58,10.65,0.3
59,10.08,0.3
60,9.93,0.29
61,10.2,0.29
62,10.82,0.29
63,11.36,0.28
64,11.95,0.28
65,12.38,0.28
66,12.9,0.27
67,13.41,0.27
68,13.92,0.27
69,14.36,0.27
70,15.02,0.27
71,15.32,0.26
72,15.9,0.26
73,16.37,0.26
74,16.95,0.26
75,17.38,0.26
76,17.87,0.26
77,18.4,0.26
78,18.98,0.26
79,19.37,0.25
80,19.87,0.25
81,20.37,0.25
82,20.92,0.25
83,21.37,0.25
84,21.85,0.26
85,22.34,0.28
86,22.92,0.3
87,23.3,0.33
88,23.86,0.35
89,24.3,0.37
90,24.87,0.38
91,25.55,0.38
92,25.93,0.38
93,26.46,0.38
94,26.91,0.38
95,27.53,0.38
96,27.92,0.38
97,28.45,0.38
98,28.89,0.38
99,29.49,0.38
100,29.87,0.38
101,30.49,0.38
102,30.86,0.39
103,31.37,0.39
104,31.87,0.39
105,32.42,0.39
106,32.88,0.39
107,33.4,0.39
108,33.89,0.39
109,34.42,0.39
110,34.94,0.39
111,35.39,0.39
112,35.92,0.38
113,36.39,0.39
114,36.91,0.38
115,37.38,0.38
116,37.88,0.38
117,38.39,0.37
118,38.87,0.37
119,39.36,0.36
120,39.86,0.34
121,40.01,0.33
122,39.97,0.33
123,39.99,0.33
124,40.0,0.33
125,40.0,0.33
