,1,lspr_max
0,39.7,0.39
1,39.11,0.39
2,38.67,0.39
3,38.17,0.39
4,37.66,0.39
5,37.1,0.38
6,36.69,0.38
7,36.16,0.38
8,35.7,0.38
9,35.14,0.38
10,34.71,0.38
11,34.14,0.38
12,33.74,0.39
13,33.07,0.39
14,32.63,0.39
15,32.15,0.39
16,31.66,0.39
17,31.11,0.39
18,30.67,0.39
19,30.17,0.39
20,29.66,0.39
21,29.18,0.39
22,28.64,0.39
23,28.2,0.39
24,27.65,0.39
25,27.19,0.39
26,26.64,0.39
27,26.24,0.39
28,25.67,0.39
29,25.22,0.39
30,24.7,0.39
31,24.28,0.39
32,23.68,0.39
33,23.25,0.39
34,22.57,0.39
35,22.31,0.39
36,21.7,0.39
37,21.19,0.39
38,20.65,0.39
39,20.29,0.39
40,19.66,0.39
41,19.21,0.39
42,18.59,0.39
43,18.26,0.39
44,17.54,0.39
45,17.25,0.39
46,16.67,0.39
47,16.24,0.39
48,15.55,0.38
49,15.24,0.37
50,14.65,0.36
51,14.26,0.36
52,13.6,0.35
53,13.11,0.35
54,12.67,0.36
55,12.22,0.36
56,11.63,0.35
57,11.2,0.35
58,10.69,0.34
59,10.21,0.33
60,9.88,0.32
61,10.14,0.32
62,10.75,0.31
63,11.35,0.3
64,11.93,0.3
65,12.36,0.3
66,12.85,0.29
67,13.39,0.29
68,13.9,0.29
69,14.33,0.29
70,14.98,0.29
71,15.3,0.29
72,15.89,0.29
73,16.33,0.29
74,16.92,0.29
75,17.36,0.29
76,17.86,0.29
77,18.35,0.3
78,18.96,0.3
79,19.33,0.31
80,19.85,0.32
81,20.36,0.32
82,20.88,0.33
83,21.36,0.34
84,21.82,0.34
85,22.32,0.34
86,22.9,0.34
87,23.3,0.35
88,23.82,0.35
89,24.29,0.37
90,24.85,0.38
91,25.41,0.39
92,25.84,0.39
93,26.41,0.39
94,26.87,0.39
95,27.49,0.39
96,27.91,0.39
97,28.39,0.39
98,28.9,0.39
99,29.49,0.39
100,29.85,0.39
101,30.51,0.39
102,30.84,0.4
103,31.38,0.4
104,31.84,0.4
105,32.39,0.4
106,32.84,0.4
107,33.38,0.4
108,33.85,0.4
109,34.35,0.4
110,34.89,0.4
111,35.36,0.4
112,35.91,0.4
113,36.37,0.4
114,36.9,0.4
115,37.36,0.4
116,37.87,0.4
117,38.38,0.4
118,38.86,0.4
119,39.34,0.39
120,39.85,0.39
121,40.01,0.38
