,1,tspr_max
0,39.7,0.38
1,39.11,0.38
2,38.67,0.38
3,38.17,0.38
4,37.66,0.38
5,37.1,0.38
6,36.69,0.38
7,36.16,0.37
8,35.7,0.37
9,35.14,0.37
10,34.71,0.37
11,34.14,0.38
12,33.74,0.38
13,33.07,0.37
14,32.63,0.37
15,32.15,0.38
16,31.66,0.38
17,31.11,0.38
18,30.67,0.38
19,30.17,0.38
20,29.66,0.38
21,29.18,0.38
22,28.64,0.38
23,28.2,0.38
24,27.65,0.38
25,27.19,0.38
26,26.64,0.38
27,26.24,0.38
28,25.67,0.38
29,25.22,0.38
30,24.7,0.38
31,24.28,0.38
32,23.68,0.38
33,23.25,0.38
34,22.57,0.38
35,22.31,0.38
36,21.7,0.38
37,21.19,0.38
38,20.65,0.38
39,20.29,0.38
40,19.66,0.38
41,19.21,0.38
42,18.59,0.38
43,18.26,0.38
44,17.54,0.38
45,17.25,0.38
46,16.67,0.38
47,16.24,0.38
48,15.55,0.38
49,15.24,0.38
50,14.65,0.39
51,14.26,0.38
52,13.6,0.37
53,13.11,0.35
54,12.67,0.33
55,12.22,0.31
56,11.63,0.3
57,11.2,0.29
58,10.69,0.29
59,10.21,0.28
60,9.88,0.28
61,10.14,0.27
62,10.75,0.27
63,11.35,0.27
64,11.93,0.27
65,12.36,0.26
66,12.85,0.26
67,13.39,0.26
68,13.9,0.26
69,14.33,0.26
70,14.98,0.25
71,15.3,0.25
72,15.89,0.25
73,16.33,0.25
74,16.92,0.25
75,17.36,0.25
76,17.86,0.25
77,18.35,0.25
78,18.96,0.25
79,19.33,0.25
80,19.85,0.24
81,20.36,0.24
82,20.88,0.24
83,21.36,0.25
84,21.82,0.27
85,22.32,0.29
86,22.9,0.31
87,23.3,0.34
88,23.82,0.36
89,24.29,0.37
90,24.85,0.38
91,25.41,0.38
92,25.84,0.38
93,26.41,0.38
94,26.87,0.38
95,27.49,0.38
96,27.91,0.38
97,28.39,0.38
98,28.9,0.38
99,29.49,0.38
100,29.85,0.38
101,30.51,0.38
102,30.84,0.39
103,31.38,0.39
104,31.84,0.39
105,32.39,0.39
106,32.84,0.39
107,33.38,0.39
108,33.85,0.39
109,34.35,0.39
110,34.89,0.39
111,35.36,0.39
112,35.91,0.39
113,36.37,0.39
114,36.9,0.38
115,37.36,0.38
116,37.87,0.38
117,38.38,0.38
118,38.86,0.38
119,39.34,0.37
120,39.85,0.37
121,40.01,0.36
