,1,lspr_max
0,39.57,0.43
1,39.06,0.43
2,38.57,0.43
3,38.07,0.43
4,37.51,0.43
5,37.05,0.43
6,36.5,0.43
7,36.05,0.43
8,35.51,0.43
9,35.03,0.42
10,34.51,0.43
11,34.06,0.42
12,33.54,0.42
13,33.05,0.43
14,32.54,0.43
15,32.1,0.43
16,31.55,0.43
17,31.09,0.43
18,30.56,0.43
19,30.14,0.43
20,29.58,0.43
21,29.14,0.43
22,28.58,0.43
23,28.19,0.43
24,27.58,0.43
25,27.17,0.43
26,26.46,0.43
27,26.19,0.43
28,25.59,0.43
29,25.16,0.43
30,24.54,0.43
31,24.18,0.43
32,23.55,0.43
33,23.11,0.43
34,22.49,0.43
35,22.17,0.43
36,21.45,0.43
37,21.08,0.43
38,20.57,0.43
39,20.14,0.43
40,19.46,0.43
41,19.14,0.43
42,18.55,0.43
43,18.15,0.43
44,17.48,0.43
45,17.02,0.43
46,16.56,0.43
47,16.08,0.43
48,15.52,0.42
49,15.09,0.42
50,14.59,0.41
51,14.07,0.4
52,13.6,0.39
53,13.07,0.39
54,12.61,0.39
55,12.06,0.39
56,11.61,0.39
57,11.0,0.39
58,10.66,0.39
59,10.08,0.38
60,9.94,0.37
61,10.22,0.36
62,10.87,0.35
63,11.38,0.34
64,11.97,0.34
65,12.38,0.33
66,12.94,0.33
67,13.42,0.33
68,13.93,0.32
69,14.37,0.32
70,15.04,0.32
71,15.33,0.32
72,15.91,0.32
73,16.4,0.32
74,16.95,0.32
75,17.38,0.32
76,17.89,0.32
77,18.41,0.33
78,18.99,0.34
79,19.39,0.34
80,19.88,0.34
81,20.38,0.35
82,20.95,0.35
83,21.38,0.36
84,21.87,0.37
85,22.34,0.37
86,22.92,0.38
87,23.32,0.38
88,23.87,0.38
89,24.34,0.4
90,24.98,0.41
91,25.57,0.41
92,25.95,0.42
93,26.47,0.42
94,26.91,0.42
95,27.53,0.42
96,27.91,0.42
97,28.5,0.42
98,28.89,0.42
99,29.48,0.43
100,29.88,0.43
101,30.46,0.43
102,30.88,0.43
103,31.39,0.43
104,31.9,0.43
105,32.42,0.43
106,32.9,0.43
107,33.42,0.43
108,33.92,0.43
109,34.44,0.43
110,34.95,0.42
111,35.4,0.42
112,35.93,0.43
113,36.4,0.43
114,36.92,0.42
115,37.38,0.42
116,37.89,0.42
117,38.4,0.41
118,38.88,0.41
119,39.37,0.4
120,39.87,0.39
121,40.01,0.39
122,39.98,0.39
123,39.99,0.38
124,40.0,0.39
125,40.01,0.39
