,time(min),abs,tspr_max,lspr_max
0,0.0,0.379,0.379,0.398
1,0.5,0.378,0.378,0.398
2,1.0,0.378,0.378,0.397
3,1.5,0.377,0.377,0.397
4,2.0,0.375,0.375,0.396
5,2.5,0.375,0.375,0.395
6,3.0,0.375,0.375,0.395
7,3.5,0.374,0.374,0.395
8,4.0,0.375,0.375,0.394
9,4.5,0.374,0.374,0.394
10,5.0,0.375,0.375,0.394
11,5.5,0.374,0.374,0.394
12,6.0,0.374,0.374,0.394
13,6.5,0.374,0.374,0.394
14,7.0,0.374,0.374,0.394
15,7.5,0.374,0.374,0.394
16,8.0,0.375,0.375,0.395
17,8.5,0.375,0.375,0.396
18,9.0,0.375,0.375,0.396
19,9.5,0.375,0.375,0.396
20,10.0,0.375,0.375,0.397
21,10.5,0.375,0.375,0.396
22,11.0,0.376,0.376,0.396
23,11.5,0.375,0.375,0.396
24,12.0,0.375,0.375,0.396
25,12.5,0.376,0.376,0.397
26,13.0,0.376,0.376,0.397
27,13.5,0.376,0.376,0.397
28,14.0,0.376,0.376,0.397
29,14.5,0.376,0.376,0.397
30,15.0,0.377,0.377,0.398
31,15.5,0.377,0.377,0.398
32,16.0,0.377,0.377,0.397
33,16.5,0.377,0.377,0.398
34,17.0,0.377,0.377,0.398
35,17.5,0.377,0.377,0.398
36,18.0,0.377,0.377,0.398
37,18.5,0.377,0.377,0.397
38,19.0,0.377,0.377,0.397
39,19.5,0.378,0.378,0.397
40,20.0,0.378,0.378,0.398
41,20.5,0.378,0.378,0.398
42,21.0,0.378,0.378,0.398
43,21.5,0.379,0.379,0.399
44,22.0,0.378,0.378,0.399
45,22.5,0.379,0.379,0.399
46,23.0,0.379,0.379,0.399
47,23.5,0.379,0.379,0.399
48,24.0,0.379,0.379,0.398
49,24.5,0.379,0.379,0.397
50,25.0,0.381,0.381,0.394
51,25.5,0.382,0.382,0.388
52,26.0,0.383,0.383,0.379
53,26.5,0.385,0.385,0.37
54,27.0,0.38,0.38,0.364
55,27.5,0.365,0.365,0.365
56,28.0,0.344,0.344,0.367
57,28.5,0.326,0.326,0.368
58,29.0,0.31,0.31,0.365
59,29.5,0.303,0.303,0.358
60,30.0,0.298,0.298,0.351
61,30.5,0.295,0.295,0.345
62,31.0,0.292,0.292,0.337
63,31.5,0.29,0.29,0.33
64,32.0,0.287,0.287,0.324
65,32.5,0.284,0.284,0.32
66,33.0,0.282,0.282,0.316
67,33.5,0.279,0.279,0.313
68,34.0,0.278,0.278,0.31
69,34.5,0.274,0.274,0.309
70,35.0,0.273,0.273,0.308
71,35.5,0.27,0.27,0.308
72,36.0,0.269,0.269,0.309
73,36.5,0.267,0.267,0.31
74,37.0,0.264,0.264,0.311
75,37.5,0.264,0.264,0.314
76,38.0,0.263,0.263,0.317
77,38.5,0.261,0.261,0.321
78,39.0,0.262,0.262,0.326
79,39.5,0.26,0.26,0.331
80,40.0,0.258,0.258,0.336
81,40.5,0.257,0.257,0.342
82,41.0,0.262,0.262,0.347
83,41.5,0.275,0.275,0.353
84,42.0,0.294,0.294,0.357
85,42.5,0.316,0.316,0.359
86,43.0,0.341,0.341,0.362
87,43.5,0.361,0.361,0.368
88,44.0,0.374,0.374,0.38
89,44.5,0.376,0.376,0.39
90,45.0,0.376,0.376,0.395
91,45.5,0.377,0.377,0.398
92,46.0,0.377,0.377,0.4
93,46.5,0.378,0.378,0.401
94,47.0,0.379,0.379,0.402
95,47.5,0.379,0.379,0.402
96,48.0,0.38,0.38,0.404
97,48.5,0.38,0.38,0.403
98,49.0,0.381,0.381,0.405
99,49.5,0.382,0.382,0.405
100,50.0,0.381,0.381,0.404
101,50.5,0.381,0.381,0.404
102,51.0,0.382,0.382,0.405
103,51.5,0.383,0.383,0.405
104,52.0,0.383,0.383,0.405
105,52.5,0.383,0.383,0.405
106,53.0,0.383,0.383,0.405
107,53.5,0.383,0.383,0.405
108,54.0,0.384,0.384,0.405
109,54.5,0.383,0.383,0.404
110,55.0,0.383,0.383,0.403
111,55.5,0.383,0.383,0.404
112,56.0,0.383,0.383,0.403
113,56.5,0.382,0.382,0.403
114,57.0,0.382,0.382,0.401
115,57.5,0.38,0.38,0.399
116,58.0,0.376,0.376,0.396
117,58.5,0.373,0.373,0.397
118,59.0,0.368,0.368,0.394
119,59.5,0.362,0.362,0.389
120,60.0,0.356,0.356,0.382
121,60.5,0.349,0.349,0.377
