,0,1
0,0.0,39.94
1,0.5,39.4
2,1.0,38.91
3,1.5,38.4
4,2.0,37.93
5,2.5,37.4
6,3.0,36.96
7,3.5,36.4
8,4.0,35.97
9,4.5,35.4
10,5.0,34.98
11,5.5,34.31
12,6.0,34.01
13,6.5,33.4
14,7.0,32.97
15,7.5,32.35
16,8.0,32.01
17,8.5,31.39
18,9.0,30.94
19,9.5,30.31
20,10.0,30.04
21,10.5,29.31
22,11.0,28.93
23,11.5,28.38
24,12.0,27.95
25,12.5,27.28
26,13.0,26.94
27,13.5,26.35
28,14.0,25.98
29,14.5,25.28
30,15.0,24.87
31,15.5,24.38
32,16.0,23.9
33,16.5,23.33
34,17.0,22.91
35,17.5,22.4
36,18.0,21.9
37,18.5,21.38
38,19.0,20.86
39,19.5,20.42
40,20.001,19.88
41,20.501,19.41
42,21.001,18.87
43,21.501,18.46
44,22.001,17.89
45,22.501,17.42
46,23.001,16.92
47,23.501,16.51
48,24.001,15.9
49,24.501,15.47
50,25.001,14.78
51,25.501,14.53
52,26.001,13.92
53,26.501,13.4
54,27.001,12.87
55,27.501,12.51
56,28.001,11.89
57,28.501,11.42
58,29.001,10.81
59,29.501,10.52
60,30.001,9.79
61,30.501,10.05
62,31.001,10.6
63,31.501,11.29
64,32.001,11.63
65,32.501,12.21
66,33.001,12.62
67,33.501,13.32
68,34.001,13.6
69,34.501,14.22
70,35.001,14.61
71,35.501,15.24
72,36.001,15.76
73,36.501,16.23
74,37.001,16.63
75,37.501,17.28
76,38.001,17.81
77,38.501,18.2
78,39.001,18.71
79,39.501,19.18
80,40.001,19.78
81,40.501,20.2
82,41.001,20.78
83,41.501,21.22
84,42.001,21.75
85,42.501,22.2
86,43.001,22.83
87,43.501,23.16
88,44.001,23.73
89,44.501,24.2
90,45.001,24.75
91,45.501,25.17
92,46.001,25.67
93,46.501,26.2
94,47.001,26.69
95,47.501,27.19
96,48.001,27.68
97,48.501,28.19
98,49.001,28.74
99,49.501,29.17
100,50.001,29.74
101,50.501,30.16
102,51.001,30.76
103,51.501,31.25
104,52.001,31.78
105,52.501,32.22
106,53.001,32.79
107,53.501,33.29
108,54.001,33.75
109,54.501,34.31
110,55.001,34.72
111,55.501,35.29
112,56.001,35.73
113,56.502,36.32
114,57.002,36.7
115,57.502,37.23
116,58.002,37.71
117,58.502,38.25
118,59.002,38.71
119,59.502,39.21
120,60.002,39.72
121,60.502,40.03
